stage	request_id	repeat	repeat_total	duration_ms	duration_s	success	turns	quality
pro_warm_up	10	6	50	15753.700	15.753700	False	1	0.434
pro_warm_up	10	7	50	15543.368	15.543368	False	1	0.392
pro_warm_up	11	1	50	19186.324	19.186324	False	1	0.417
pro_warm_up	11	2	50	3791.993	3.791993	False	1	0.133
pro_warm_up	11	3	50	15449.515	15.449515	False	1	0.133
pro_warm_up	11	4	50	19521.347	19.521347	False	1	0.412
pro_warm_up	11	5	50	20244.269	20.244269	False	1	0.421
pro_warm_up	11	6	50	15858.597	15.858597	False	1	0.353
pro_warm_up	12	1	50	4275.776	4.275776	False	1	0.133
pro_warm_up	12	2	50	15145.934	15.145934	False	1	0.386
pro_warm_up	12	3	50	2469.098	2.469098	False	1	0.133
pro_warm_up	12	4	50	19278.877	19.278877	False	1	0.398
pro_warm_up	12	5	50	14364.200	14.364200	False	1	0.462
pro_warm_up	12	6	50	2693.152	2.693152	False	1	0.133
pro_warm_up	12	7	50	15449.349	15.449349	False	1	0.382
pro_warm_up	12	8	50	2872.268	2.872268	False	1	0.133
pro_warm_up	12	9	50	21288.399	21.288399	False	1	0.407
pro_warm_up	12	10	50	13090.389	13.090389	False	1	0.4
pro_warm_up	13	1	50	24005.742	24.005742	True	1	0.67
pro_warm_up	13	2	50	19448.115	19.448115	False	1	0.435
pro_warm_up	13	3	50	11523.925	11.523925	True	1	0.742
pro_warm_up	13	4	50	18247.237	18.247237	True	1	0.742
pro_warm_up	13	5	50	18339.896	18.339896	False	1	0.431
pro_warm_up	13	6	50	12108.447	12.108447	True	1	0.742
pro_warm_up	13	7	50	17334.194	17.334194	False	1	0.481
pro_warm_up	13	8	50	21276.228	21.276228	True	1	0.742
pro_warm_up	14	1	50	13467.236	13.467236	False	1	0.133
pro_warm_up	14	2	50	17638.941	17.638941	False	1	0.424
pro_warm_up	14	3	50	14022.235	14.022235	False	1	0.455
pro_warm_up	14	4	50	15271.990	15.271990	False	1	0.493
pro_warm_up	14	5	50	14105.975	14.105975	False	1	0.428
pro_warm_up	14	6	50	5420.194	5.420194	False	1	0.133
pro_warm_up	14	7	50	22165.394	22.165394	False	1	0.394
pro_warm_up	14	8	50	14913.786	14.913786	False	1	0.437
pro_warm_up	14	9	50	9593.034	9.593034	False	1	0.133
pro_warm_up	15	1	50	15004.243	15.004243	False	1	0.133
pro_warm_up	15	2	50	22022.017	22.022017	False	1	0.495
pro_warm_up	15	3	50	3955.596	3.955596	False	1	0.133
pro_warm_up	15	4	50	2173.847	2.173847	False	1	0.133
pro_warm_up	15	5	50	15971.219	15.971219	False	1	0.453
pro_warm_up	15	6	50	7459.005	7.459005	False	1	0.133
pro_warm_up	15	7	50	15295.855	15.295855	False	1	0.417
pro_warm_up	16	1	50	13121.288	13.121288	False	1	0.41
pro_warm_up	16	2	50	13801.404	13.801404	False	1	0.461
pro_warm_up	16	3	50	25915.226	25.915226	False	1	0.499
pro_warm_up	16	4	50	20010.570	20.010570	False	1	0.436
pro_warm_up	16	5	50	16915.501	16.915501	False	1	0.494
pro_warm_up	16	6	50	47702.121	47.702121	False	1	0.133
pro_warm_up	16	7	50	14572.636	14.572636	False	1	0.418
pro_warm_up	16	8	50	10600.491	10.600491	False	1	0.133
pro_warm_up	17	1	50	14973.209	14.973209	False	1	0.485
pro_warm_up	17	2	50	9437.278	9.437278	False	1	0.499
pro_warm_up	17	3	50	8582.612	8.582612	False	1	0.133
pro_warm_up	17	4	50	15361.990	15.361990	False	1	0.514
pro_warm_up	17	5	50	18919.355	18.919355	False	1	0.39
pro_warm_up	17	6	50	4765.864	4.765864	False	1	0.133
pro_warm_up	17	7	50	14898.167	14.898167	False	1	0.466
pro_warm_up	17	8	50	12707.895	12.707895	False	1	0.458
pro_warm_up	17	9	50	2322.947	2.322947	False	1	0.133
pro_warm_up	18	1	50	2797.603	2.797603	False	1	0.133
pro_warm_up	18	2	50	13784.810	13.784810	False	1	0.446
pro_warm_up	18	3	50	2877.969	2.877969	False	1	0.133
pro_warm_up	18	4	50	18266.893	18.266893	False	1	0.484
pro_warm_up	18	5	50	3140.870	3.140870	False	1	0.133
pro_warm_up	18	6	50	21060.796	21.060796	False	1	0.455
pro_warm_up	18	7	50	2150.994	2.150994	False	1	0.133
pro_warm_up	18	8	50	2073.942	2.073942	False	1	0.133
pro_warm_up	18	9	50	15164.808	15.164808	False	1	0.466
pro_warm_up	19	1	50	10314.380	10.314380	False	1	0.133
pro_warm_up	19	2	50	18071.570	18.071570	False	1	0.457
pro_warm_up	19	3	50	4389.188	4.389188	False	1	0.133
pro_warm_up	19	4	50	11817.772	11.817772	False	1	0.133
pro_warm_up	19	5	50	10632.587	10.632587	False	1	0.499
pro_warm_up	19	6	50	2659.368	2.659368	False	1	0.133
pro_warm_up	19	7	50	18984.530	18.984530	True	1	0.9
pro_warm_up	19	8	50	9023.655	9.023655	False	1	0.499
pro_warm_up	19	9	50	16176.764	16.176764	False	1	0.469
pro_warm_up	19	10	50	2198.467	2.198467	False	1	0.133
pro_warm_up	19	11	50	13097.093	13.097093	False	1	0.484
pro_warm_up	19	12	50	17471.605	17.471605	False	1	0.55
pro_warm_up	20	1	50	14601.654	14.601654	False	1	0.133
